,Keyword,Score,Acc.,Bias
38,woman,0.547,0.8880597014925373,M
5,film,0.4531,0.9523809523809523,S
35,tennis,0.4062,0.8342541436464088,S
20,actress,0.4062,0.9332669322709163,S
25,tennis player,0.375,0.8284023668639053,S
18,girl,0.2969,0.8513513513513513,S
30,promotional portrait,0.2812,0.8048780487804879,S
29,romantic,0.25,0.9690265486725663,S
15,named person,0.25,0.84251968503937,S
5,hair,0.2344,0.8931116389548693,S
13,found,0.2344,0.825,S
9,portrait,0.2344,0.813953488372093,S
10,love,0.2344,0.9107142857142857,S
7,model,0.2188,0.9295302013422819,S
19,arrives,0.1406,0.9025032938076416,M
29,undated,0.1406,0.819078947368421,S
22,promotional,0.125,0.8048780487804879,S
32,died,0.125,0.8365384615384616,S
23,style,0.1094,0.9354838709677419,S
14,comedy,0.09375,0.9084249084249084,S
11,arrives,0.09375,0.9456066945606695,M
38,graduate,0.0625,0.5555555555555556,S
36,file,0.0625,0.775609756097561,S
28,attends,0.0625,0.9386160714285714,S
12,woman,0.04688,0.8243243243243243,M
37,named,0.04688,0.8483870967741935,S
11,face of person,0.04688,0.9059474412171508,S
21,condition,0.03125,0.8703703703703703,S
31,long,0.03125,0.927536231884058,S
6,face,0.03125,0.9060150375939849,S
37,publicity portrait,0.0,0.65,S
0,person,0.0,0.8917897629680522,S
26,shown,-0.01563,0.8219584569732937,
0,person,-0.01563,0.9034028540065862,
12,premiere of romantic,-0.01563,0.913659793814433,
16,romantic comedy,-0.03125,0.913659793814433,
24,artist,-0.03125,0.90625,
10,face,-0.03125,0.9097578870139399,
31,premiere of comedy,-0.03125,0.8938906752411575,
19,win,-0.04688,0.6666666666666666,
39,pictured,-0.04688,0.8421052631578947,
27,publicity,-0.04688,0.6666666666666666,
34,model and actress,-0.04688,0.9461077844311377,
7,player,-0.04688,0.8867924528301887,
6,comedy film,-0.04688,0.9095801937567277,
21,artist,-0.0625,0.8845470692717584,
14,contestant,-0.0781,0.9122807017543859,
20,diagnosed,-0.0781,0.82,
27,love,-0.09375,0.9314214463840399,
2,premiere,-0.09375,0.9280225409836066,
9,romantic comedy film,-0.1094,0.913659793814433,
32,player,-0.1094,0.8857142857142857,
35,award,-0.125,0.7692307692307693,
8,face of person,-0.125,0.9193548387096774,
23,photo,-0.125,0.8050139275766016,
24,romantic,-0.125,0.913659793814433,
3,film,-0.1562,0.9320183163085594,
4,actor arrives,-0.1719,0.9090909090909091,
22,attends the premiere,-0.1875,0.9491228070175438,
18,model,-0.1875,0.9366319444444444,
17,actress,-0.2188,0.9539748953974896,
15,comedy film,-0.2188,0.9697885196374623,
33,football player,-0.2188,0.8991097922848664,
3,hair,-0.2344,0.9492119089316988,
34,thriller film,-0.25,0.9622641509433962,
16,comedy,-0.2656,0.970108695652174,
36,smile,-0.2812,0.8064516129032258,
39,contestant,-0.3125,0.9116997792494481,
8,actor attends,-0.3281,0.9428223844282239,
17,actor as person,-0.3281,0.915625,
1,actor,-0.3438,0.9230769230769231,
13,man,-0.3594,0.9330783938814532,
33,hairstyles,-0.3594,0.956989247311828,
1,actor,-0.3594,0.9352941176470588,
30,premiere of thriller,-0.375,0.9621689785624212,
25,actor as person,-0.4688,0.8260869565217391,
4,actor arrives,-0.4688,0.9478260869565217,
2,premiere,-0.4844,0.9563679245283019,
28,actor attends,-0.5156,0.9629629629629629,
26,premiere of romantic,-0.5312,0.9690265486725663,
