,Keyword,Score,Acc.,Bias
5,film,0.4688,0.9523809523809523,S
10,love,0.25,0.9107142857142857,S
9,portrait,0.2344,0.813953488372093,S
13,found,0.2188,0.825,S
7,model,0.2188,0.9295302013422819,S
5,hair,0.2188,0.8931116389548693,S
14,comedy,0.09375,0.9084249084249084,S
11,arrives,0.09375,0.9456066945606695,S
12,woman,0.04688,0.8243243243243243,S
11,face of person,0.04688,0.9059474412171508,S
6,face,0.03125,0.9060150375939849,S
0,person,0.0,0.8917897629680522,S
0,person,-0.01563,0.9034028540065862,
12,premiere of romantic,-0.01563,0.913659793814433,
10,face,-0.03125,0.9097578870139399,
7,player,-0.04688,0.8867924528301887,
6,comedy film,-0.0625,0.9095801937567277,
2,premiere,-0.0781,0.9280225409836066,
14,contestant,-0.0781,0.9122807017543859,
9,romantic comedy film,-0.09375,0.913659793814433,
8,face of person,-0.125,0.9193548387096774,
4,actor arrives,-0.1719,0.9090909090909091,
3,film,-0.1719,0.9320183163085594,
3,hair,-0.25,0.9492119089316988,
8,actor attends,-0.3438,0.9428223844282239,
1,actor,-0.3438,0.9230769230769231,
13,man,-0.3594,0.9330783938814532,
1,actor,-0.3594,0.9352941176470588,
4,actor arrives,-0.4688,0.9478260869565217,
2,premiere,-0.4844,0.9563679245283019,
