,Keyword,Score,Acc.,Bias
13,bamboo forest,4.17,0.0,S
38,pelican flies,3.5,0.0,S
20,ocean,3.312,0.625,S
43,pelican,3.219,0.3333333333333333,S
9,bamboo,3.156,0.0,S
29,sea,3.14,0.6666666666666666,S
62,shark,3.016,0.5,S
51,seagull flies,2.953,0.75,S
58,surfers,2.875,0.0,S
47,surfing,2.656,0.0,S
46,wave,2.64,0.6666666666666666,S
4,beach,2.64,0.7432432432432432,S
39,seal,2.625,0.0,S
19,surfer,2.61,0.6666666666666666,S
9,seagull,2.547,0.5,S
6,forest,2.234,0.1111111111111111,S
26,boat,2.125,0.7,S
7,rainforest,2.031,0.2,S
18,woods,2.031,0.5,S
59,penguins,1.844,0.0,S
14,trees,1.781,0.3333333333333333,S
58,tree growing,1.781,0.0,S
30,ship,1.703,0.5,S
5,tree,1.578,0.5909090909090909,S
8,garden,1.516,0.0,S
16,bird of paradise,1.5,0.5,S
37,penguin,1.469,0.6666666666666666,S
20,bird feeder,1.422,0.0,S
5,water,1.328,0.6410256410256411,S
28,branch,1.281,0.6666666666666666,S
53,paraglider flies,1.234,0.5,S
84,floating,1.172,0.0,S
23,lake,1.141,0.8333333333333334,S
56,tree stump,1.109,0.0,S
79,calf,1.109,0.0,S
16,sunset,1.094,0.6923076923076923,S
53,monkey,1.0625,0.0,S
34,rocks,1.0625,0.8181818181818182,S
41,helicopter flies,1.0625,0.3333333333333333,S
57,coconut tree,1.016,0.0,S
31,stump,1.0,0.0,S
17,fish,0.9688,0.6923076923076923,S
70,person competes,0.953,0.0,S
60,destination,0.9062,0.0,S
55,dog running,0.8906,0.0,S
92,clouds,0.8906,0.0,S
57,paraglider,0.8438,0.5,S
33,butterfly,0.797,0.0,S
49,kite,0.797,0.6666666666666666,S
89,sunrise,0.6875,0.0,S
40,feeder,0.672,0.0,S
61,tourist,0.6562,0.5,S
76,action,0.6406,0.0,S
56,dogs,0.578,0.0,S
69,sharing,0.5625,0.5,S
48,helicopter,0.5312,0.3333333333333333,S
11,paradise,0.5312,0.90625,S
44,balcony,0.5312,0.0,S
72,river,0.5156,0.6666666666666666,S
21,sky,0.5156,0.7857142857142857,S
17,trail,0.5,0.3333333333333333,S
35,rock,0.5,0.875,S
12,city,0.375,0.6923076923076923,S
81,flight,0.3125,0.9285714285714286,S
54,growing,0.3125,0.0,S
77,kangaroo,0.2969,0.0,S
25,wall,0.2969,0.5,S
14,dog,0.2656,0.42857142857142855,S
49,fall,0.2656,0.0,S
75,day,0.25,0.0,S
39,coconut,0.2188,0.0,S
64,great,0.2031,0.75,S
8,biological species flying,0.1875,0.0,S
66,breeds,0.1875,0.0,S
12,wild,0.1562,0.8235294117647058,S
45,pictured,0.0781,0.3333333333333333,S
31,black,0.0781,0.5,S
30,park,0.0625,0.6666666666666666,S
10,prey,0.04688,0.8421052631578947,S
42,running,0.04688,0.0,S
73,snow,0.04688,0.9285714285714286,S
15,bird of prey,0.03125,0.8421052631578947,S
52,pond,0.01563,0.8,S
36,popular,0.0,0.5,S
27,photo,0.0,0.8,S
80,taste,0.0,0.0,S
62,digital art,-0.01563,0.0,
27,selected,-0.03125,0.0,
67,digital art selected,-0.03125,0.0,
24,flying,-0.0625,0.7692307692307693,
88,beautiful,-0.0625,0.8,
25,morning,-0.125,0.7,
32,species flying,-0.125,0.0,
6,person,-0.125,0.8,
0,biological species,-0.1406,0.753731343283582,
90,left,-0.1406,0.0,
63,tail,-0.1562,0.0,
54,parrot flies,-0.1562,0.0,
65,white,-0.1719,0.0,
2,species,-0.1875,0.753731343283582,
83,duckling,-0.2031,0.5,
