,Keyword,Score,Acc.,Bias
24,digital,-0.2188,0.0,
37,found,-0.2344,0.6666666666666666,
22,face,-0.25,0.5,
19,species of bird,-0.25,0.5,
3,bird,-0.25,0.7101449275362319,
63,art selected,-0.25,0.0,
42,magical,-0.2812,0.0,
11,paradise,-0.2812,0.5,
7,flies,-0.2812,0.5652173913043478,
55,bird in flight,-0.2969,0.0,
26,art,-0.2969,0.0,
91,dinosaur,-0.2969,0.0,
61,pond by person,-0.3125,0.0,
0,biological species,-0.3281,0.9392712550607287,
44,statue,-0.3281,0.5,
82,poses,-0.3438,0.0,
94,husband,-0.3594,0.0,
68,post,-0.375,0.8888888888888888,
35,place,-0.375,0.0,
1,biological,-0.3906,0.9393939393939394,
1,biological,-0.4219,0.7555555555555555,
47,morning,-0.4219,0.6666666666666666,
36,flight,-0.4375,0.8333333333333334,
93,greeting,-0.4531,0.0,
29,sky,-0.4688,0.8333333333333334,
65,magical place,-0.4688,0.0,
33,bird flying,-0.4844,0.8571428571428571,
21,photo,-0.4844,0.8,
23,pictured,-0.5156,0.5,
22,pond,-0.5312,0.9,
50,rock,-0.547,0.5,
67,bird of prey,-0.5625,0.9666666666666667,
85,young,-0.578,0.6666666666666666,
87,prey,-0.578,0.9666666666666667,
10,bird flies,-0.5938,0.7777777777777778,
4,person,-0.6094,0.65,
52,species in flight,-0.6094,0.8333333333333334,
48,fish,-0.6406,0.8571428571428571,
59,pictured with person,-0.703,0.0,
2,species,-0.7188,0.9393939393939394,
74,crow,-0.7344,0.9166666666666666,
32,snow,-0.75,0.8888888888888888,
34,beak,-0.75,0.0,
28,yellow,-0.828,0.625,
38,blue,-0.8438,0.0,
78,standing,-0.8906,0.5,
46,duckling,-0.8906,0.5,
13,birds,-1.0,0.875,
15,parrot,-1.031,0.75,
86,zoo,-1.047,0.5,
64,blue beak,-1.0625,0.0,
60,duckling with person,-1.1875,0.0,
71,hummingbird,-1.422,0.5,
43,lake,-1.516,0.8,
3,bird,-1.547,0.9302325581395349,
50,species of bird,-1.609,0.875,
18,bird of paradise,-1.6875,0.90625,
51,dock,-1.766,0.6666666666666666,
40,branch,-1.766,0.9701492537313433,
66,duck he found,-1.984,0.0,
45,duck,-2.031,0.9,
41,beach,-2.156,0.9473684210526315,
