,Keyword,Score,Acc.,Bias
13,bamboo forest,4.17,0.0,S
38,pelican flies,3.5,0.0,S
20,ocean,3.312,0.625,S
43,pelican,3.219,0.3333333333333333,S
9,bamboo,3.156,0.0,S
29,sea,3.125,0.6666666666666666,S
62,shark,3.016,0.5,S
51,seagull flies,2.938,0.75,S
58,surfers,2.875,0.0,S
47,surfing,2.656,0.0,S
4,beach,2.64,0.7432432432432432,S
46,wave,2.625,0.6666666666666666,S
39,seal,2.625,0.0,S
19,surfer,2.594,0.6666666666666666,S
9,seagull,2.547,0.5,S
6,forest,2.234,0.1111111111111111,S
26,boat,2.11,0.7,S
7,rainforest,2.031,0.2,S
18,woods,2.031,0.5,S
59,penguins,1.828,0.0,S
14,trees,1.781,0.3333333333333333,S
58,tree growing,1.781,0.0,S
30,ship,1.703,0.5,S
5,tree,1.578,0.5909090909090909,S
8,garden,1.516,0.0,S
16,bird of paradise,1.5,0.5,S
37,penguin,1.469,0.6666666666666666,S
20,bird feeder,1.422,0.0,S
5,water,1.3125,0.6410256410256411,S
28,branch,1.281,0.6666666666666666,S
53,paraglider flies,1.234,0.5,S
84,floating,1.172,0.0,S
23,lake,1.141,0.8333333333333334,S
56,tree stump,1.109,0.0,S
79,calf,1.094,0.0,S
16,sunset,1.078,0.6923076923076923,S
41,helicopter flies,1.0625,0.3333333333333333,S
53,monkey,1.0625,0.0,S
34,rocks,1.0625,0.8181818181818182,S
57,coconut tree,1.016,0.0,S
31,stump,1.0,0.0,S
17,fish,0.9688,0.6923076923076923,S
70,person competes,0.9688,0.0,S
60,destination,0.922,0.0,S
55,dog running,0.8906,0.0,S
57,paraglider,0.8438,0.5,S
33,butterfly,0.797,0.0,S
49,kite,0.797,0.6666666666666666,S
40,feeder,0.672,0.0,S
76,action,0.6562,0.0,S
61,tourist,0.6406,0.5,S
69,sharing,0.5625,0.5,S
56,dogs,0.5625,0.0,S
48,helicopter,0.547,0.3333333333333333,S
11,paradise,0.5312,0.90625,S
44,balcony,0.5312,0.0,S
21,sky,0.5156,0.7857142857142857,S
72,river,0.5156,0.6666666666666666,S
17,trail,0.5,0.3333333333333333,S
35,rock,0.5,0.875,S
12,city,0.3594,0.6923076923076923,S
54,growing,0.3125,0.0,S
81,flight,0.3125,0.9285714285714286,S
25,wall,0.2969,0.5,S
77,kangaroo,0.2969,0.0,S
14,dog,0.2656,0.42857142857142855,S
49,fall,0.2656,0.0,S
75,day,0.25,0.0,S
64,great,0.2188,0.75,S
39,coconut,0.2188,0.0,S
66,breeds,0.1719,0.0,S
8,biological species flying,0.1719,0.0,S
12,wild,0.1562,0.8235294117647058,S
31,black,0.0781,0.5,S
30,park,0.0625,0.6666666666666666,S
45,pictured,0.0625,0.3333333333333333,S
10,prey,0.04688,0.8421052631578947,S
42,running,0.04688,0.0,S
73,snow,0.04688,0.9285714285714286,S
15,bird of prey,0.03125,0.8421052631578947,S
27,photo,0.01563,0.8,S
52,pond,0.01563,0.8,S
36,popular,0.0,0.5,S
80,taste,0.0,0.0,S
62,digital art,-0.01563,0.0,
67,digital art selected,-0.03125,0.0,
27,selected,-0.03125,0.0,
24,flying,-0.0625,0.7692307692307693,
32,species flying,-0.125,0.0,
6,person,-0.125,0.8,
25,morning,-0.125,0.7,
0,biological species,-0.1406,0.753731343283582,
54,parrot flies,-0.1562,0.0,
63,tail,-0.1719,0.0,
65,white,-0.1719,0.0,
2,species,-0.1875,0.753731343283582,
83,duckling,-0.2031,0.5,
24,digital,-0.2188,0.0,
37,found,-0.2344,0.6666666666666666,
22,face,-0.25,0.5,
19,species of bird,-0.25,0.5,
63,art selected,-0.25,0.0,
3,bird,-0.25,0.7101449275362319,
42,magical,-0.2812,0.0,
7,flies,-0.2812,0.5652173913043478,
11,paradise,-0.2812,0.5,
26,art,-0.2969,0.0,
55,bird in flight,-0.2969,0.0,
61,pond by person,-0.3125,0.0,
44,statue,-0.3125,0.5,
0,biological species,-0.3281,0.9392712550607287,
82,poses,-0.3438,0.0,
35,place,-0.375,0.0,
68,post,-0.375,0.8888888888888888,
1,biological,-0.3906,0.9393939393939394,
1,biological,-0.4219,0.7555555555555555,
47,morning,-0.4219,0.6666666666666666,
36,flight,-0.4375,0.8333333333333334,
29,sky,-0.4688,0.8333333333333334,
65,magical place,-0.4688,0.0,
33,bird flying,-0.4844,0.8571428571428571,
21,photo,-0.4844,0.8,
23,pictured,-0.5156,0.5,
22,pond,-0.5156,0.9,
67,bird of prey,-0.547,0.9666666666666667,
50,rock,-0.547,0.5,
10,bird flies,-0.578,0.7777777777777778,
4,person,-0.6094,0.65,
52,species in flight,-0.6094,0.8333333333333334,
48,fish,-0.6406,0.8571428571428571,
2,species,-0.703,0.9393939393939394,
59,pictured with person,-0.703,0.0,
74,crow,-0.7344,0.9166666666666666,
34,beak,-0.75,0.0,
32,snow,-0.75,0.8888888888888888,
28,yellow,-0.828,0.625,
38,blue,-0.8438,0.0,
78,standing,-0.8906,0.5,
46,duckling,-0.8906,0.5,
13,birds,-1.0,0.875,
15,parrot,-1.031,0.75,
64,blue beak,-1.0625,0.0,
60,duckling with person,-1.1875,0.0,
71,hummingbird,-1.4375,0.5,
43,lake,-1.516,0.8,
3,bird,-1.547,0.9302325581395349,
50,species of bird,-1.625,0.875,
18,bird of paradise,-1.6875,0.90625,
51,dock,-1.766,0.6666666666666666,
40,branch,-1.781,0.9701492537313433,
66,duck he found,-1.984,0.0,
45,duck,-2.031,0.9,
41,beach,-2.156,0.9473684210526315,
